1738,607,1937,607,1937,653,1738,653,9288710
761,684,942,684,942,733,761,733,명대화학
1755,684,2065,684,2065,735,1755,735,481-50-39941
394,765,612,765,612,813,394,813,광주광역시
808,763,930,763,930,816,808,816,칠곡군
1228,763,1388,763,1388,814,1228,814,매촌1길
1689,767,1765,767,1765,808,1689,808,351
596,844,722,844,722,900,596,900,좌시훈
1696,847,2089,847,2089,892,1696,892,049700-1889152
505,925,850,925,850,974,505,974,902-8696-1268
1570,924,1911,924,1911,971,1570,971,133-5157-8624
470,1008,734,1008,734,1059,470,1059,시스템사업부
1035,1007,1168,1007,1168,1061,1035,1061,등세연
1641,1013,2026,1013,2026,1065,1641,1065,lexirp@ngor.com
500,1206,595,1206,595,1257,500,1257,부자
878,1207,1024,1207,1024,1258,878,1258,이촌PB
1690,1208,1862,1208,1862,1257,1690,1257,당좌예금
617,1300,1034,1300,1034,1352,617,1352,761-1008-7739-48
1637,1302,1770,1302,1770,1352,1637,1352,마서안
310,2056,427,2056,427,2102,310,2102,7432
657,2056,689,2056,689,2094,657,2094,2
949,2053,1009,2053,1009,2096,949,2096,24
1802,2047,1934,2047,1934,2097,1802,2097,신준희
